2,true,false,false,false,false
4,true,false,false,false,false
7,true,false,false,false,false
9,true,false,false,false,false
10,true,false,false,false,false
12,true,false,false,false,false
14,true,false,false,false,false
15,true,false,false,false, false
17,true,false, false,false,false
19,true,false, false,false,false
20,true,false,false,false,false
22,true,false,false,false,false
24,true,false,false,false,false
25,true,false,false,false,false
27,true,false,false,false,false
28,true,false,false,false,false
30,true,false,false,false,false
32,true,false,false,false,false
33,true,false,false,false,false
35,true,false,false,false,false
38,true,false,false,false,false
40,true,false,false,false,false
3,false,true,false,false,false
18,false,true,false,false,false
34,false,true,false,false,false
8,false,true,false,true,false
23,false,true,false,true,false
37,false,true,false,true,false
1,false,false,true,false,false
5,false,false,true,false,false
11,false,false,false,false,false
21,false,false,false,false,false
31,false,false,true,false,true
39,false,false,true,false,false
